title,authors,language,publisher,combined_features
never call retreat,bruce catton,en,phoenix press,never call retreat bruce catton phoenix press en
42nd parallel,john dos passos,en,mariner books,42nd parallel john dos passos mariner books en
usa 42e paralllelan premier du siclela grosse galette,john dos passos,en,gallimard,usa 42e paralllelan premier du siclela grosse galette john dos passos gallimard en
big money,john dos passos,en,mariner books,big money john dos passos mariner books en
1919,john dos passos,en,mariner books,1919 john dos passos mariner books en
king window,adam gopnik,en,miramax books,king window adam gopnik miramax books en
karamazov brothers,fyodor dostoyevsky,en,oxford university press,karamazov brothers fyodor dostoyevsky oxford university press en
grand inquisitor related chapters brothers karamazov,fyodor dostoyevsky,en,hackett publishing,grand inquisitor related chapters brothers karamazov fyodor dostoyevsky hackett publishing en
count monte cristo,alexandre dumas,en,penguin classics,count monte cristo alexandre dumas penguin classics en
count monte cristo,alexandre dumas,en,simon schuster,count monte cristo alexandre dumas simon schuster en
count monte cristo,alexandre dumas,en,modern library,count monte cristo alexandre dumas modern library en
brothers karamazov,fyodor dostoyevsky,en,bantam classics,brothers karamazov fyodor dostoyevsky bantam classics en
crime punishment,fyodor dostoyevsky,en,signet,crime punishment fyodor dostoyevsky signet en
crime punishment american history,lawrence m. friedman,en,basic books,crime punishment american history lawrence m. friedman basic books en
crime punishment america,elliott currie,en,picador,crime punishment america elliott currie picador en
cliffsnotes dostoevskys crime punishment,james lamar roberts,en,cliffs notes,cliffsnotes dostoevskys crime punishment james lamar roberts cliffs notes en
crimes punishments,cesare beccaria,en,hackett publishing,crimes punishments cesare beccaria hackett publishing en
crime punishment,fyodor dostoyevsky,en,penguin,crime punishment fyodor dostoyevsky penguin en
crime punishment,fyodor dostoyevsky,en,norton and,crime punishment fyodor dostoyevsky norton and en
politics injustice crime punishment america,katherine beckett,en,sage publications inc,politics injustice crime punishment america katherine beckett sage publications inc en
beginning end,naguib mahfouz,en,anchor books,beginning end naguib mahfouz anchor books en
black tulip,alexandre dumas,en,penguin classics,black tulip alexandre dumas penguin classics en
la dame aux camlias,alexandre dumas fils,en,oxford university press,la dame aux camlias alexandre dumas fils oxford university press en
womens war,alexandre dumas,en,penguin classics,womens war alexandre dumas penguin classics en
knight maisonrouge,alexandre dumas,en,modern library,knight maisonrouge alexandre dumas modern library en
way crow flies,ann-marie macdonald,en,harper perennial,way crow flies ann-marie macdonald harper perennial en
crow flies,jeffrey archer,en,st. martin's paperbacks,crow flies jeffrey archer st. martin's paperbacks en
tuscan sun home italy,frances mayes,en,broadway books,tuscan sun home italy frances mayes broadway books en
blue like jazz nonreligious thoughts christian spirituality,donald miller,en,thomas nelson,blue like jazz nonreligious thoughts christian spirituality donald miller thomas nelson en
secret life bees,sue monk kidd,en,penguin books,secret life bees sue monk kidd penguin books en
wounded healer ministry contemporary society,henri j.m. nouwen,en,darton longman & todd,wounded healer ministry contemporary society henri j.m. nouwen darton longman & todd en
dance life weaving sorrows blessings one joyful step,henri j.m. nouwen,en,ave maria press,dance life weaving sorrows blessings one joyful step henri j.m. nouwen ave maria press en
prodigal son,kate sedley,en,severn house publishers,prodigal son kate sedley severn house publishers en
poisonwood bible,barbara kingsolver,en,harper perennial modern classics,poisonwood bible barbara kingsolver harper perennial modern classics en
poisonwood bible,barbara kingsolver,en,faber and faber,poisonwood bible barbara kingsolver faber and faber en
make love like porn star cautionary tale,jenna jameson,en,it books,make love like porn star cautionary tale jenna jameson it books en
dominion power man suffering animals call mercy,matthew scully,en,st. martin's griffin,dominion power man suffering animals call mercy matthew scully st. martin's griffin en
dominion,charlie huston,en,del rey,dominion charlie huston del rey en
dominion,randy alcorn,en,multnomah books,dominion randy alcorn multnomah books en
old dominion virginia alphabet,pamela duncan edwards,en,sleeping bear press,old dominion virginia alphabet pamela duncan edwards sleeping bear press en
dominion,masamune shirow,en,dark horse manga,dominion masamune shirow dark horse manga en
essentials conservation biology,richard b. primack,en,sinauer associates,essentials conservation biology richard b. primack sinauer associates en
marine conservation biology science maintaining seas biodiversity,elliott a. norse,en,island press,marine conservation biology science maintaining seas biodiversity elliott a. norse island press en
key topics conservation biology,david w. macdonald,en,wiley-blackwell,key topics conservation biology david w. macdonald wiley-blackwell en
sawtooth wolves,jim dutcher,en,rufus publications,sawtooth wolves jim dutcher rufus publications en
rainforest home remedies maya way heal body replenish soul,rosita arvigo,en,harperone,rainforest home remedies maya way heal body replenish soul rosita arvigo harperone en
zolars encyclopedia dictionary dreams fully revised updated 21st century,zolar,en,atria books,zolars encyclopedia dictionary dreams fully revised updated 21st century zolar atria books en
complete dream dictionary,pamela ball,en,booksales,complete dream dictionary pamela ball booksales en
letters father christmas,j.r.r. tolkien,en,mariner books,letters father christmas j.r.r. tolkien mariner books en
silmarillion,j.r.r. tolkien,en,houghton mifflin,silmarillion j.r.r. tolkien houghton mifflin en
jrr tolkien biography,humphrey carpenter,en,mariner books,jrr tolkien biography humphrey carpenter mariner books en
tolkien reader,j.r.r. tolkien,en,del rey,tolkien reader j.r.r. tolkien del rey en
tolkien film essays peter jacksons lord rings,janet brennan croft,en,mythopoeic press,tolkien film essays peter jacksons lord rings janet brennan croft mythopoeic press en
monsters critics essays,j.r.r. tolkien,en,harpercollins,monsters critics essays j.r.r. tolkien harpercollins en
maps tolkiens middleearth,brian sibley,en,houghton mifflin harcourt,maps tolkiens middleearth brian sibley houghton mifflin harcourt en
gospel according tolkien visions kingdom middleearth,ralph c. wood,en,westminster john knox press,gospel according tolkien visions kingdom middleearth ralph c. wood westminster john knox press en
treason isengard history lord rings part two,j.r.r. tolkien,en,harpercollins,treason isengard history lord rings part two j.r.r. tolkien harpercollins en
tolkien great war threshold middleearth,john garth,en,mariner books,tolkien great war threshold middleearth john garth mariner books en
tolkien cs lewis gift friendship,colin duriez,en,paulist press,tolkien cs lewis gift friendship colin duriez paulist press en
book lost tales part one,j.r.r. tolkien,en,del rey/ballantine books,book lost tales part one j.r.r. tolkien del rey/ballantine books en
tree leaf includes mythopoeia homecoming beorhtnoth,j.r.r. tolkien,en,harpercollins publishers ltd,tree leaf includes mythopoeia homecoming beorhtnoth j.r.r. tolkien harpercollins publishers ltd en
lord rings making movie trilogy,brian sibley,en,mariner books,lord rings making movie trilogy brian sibley mariner books en
tolkien look behind lord rings,lin carter,en,ballantine books,tolkien look behind lord rings lin carter ballantine books en
lord rings,j.r.r. tolkien,en,recorded books,lord rings j.r.r. tolkien recorded books en
midnight garden good evil,john berendt,en,modern library,midnight garden good evil john berendt modern library en
toms midnight garden,philippa pearce,en,puffin books,toms midnight garden philippa pearce puffin books en
animals translation using mysteries autism decode animal behavior,temple grandin,en,harcourt,animals translation using mysteries autism decode animal behavior temple grandin harcourt en
gods covenant animals biblical basis humane treatment creatures,j.r. hyland,en,lantern books,gods covenant animals biblical basis humane treatment creatures j.r. hyland lantern books en
lafayette,harlow giles unger,en,wiley,lafayette harlow giles unger wiley en
pride joy autobiography,george adamson,en,simon & schuster,pride joy autobiography george adamson simon & schuster en
runaways vol 1 pride joy,brian k. vaughan,en,marvel,runaways vol 1 pride joy brian k. vaughan marvel en
skys pride joy,sandra steffen,en,silhouette romance,skys pride joy sandra steffen silhouette romance en
baby emergency,carol marinelli,en,mills & boon,baby emergency carol marinelli mills & boon en
shaping america geographical perspective 500 years history volume 2 continental america 18001867,d.w. meinig,en,yale university press,shaping america geographical perspective 500 years history volume 2 continental america 18001867 d.w. meinig yale university press en
